Namespace(backend='gpt-4o-mini', method_evaluate=None, method_generate=None, method_select='greedy', n_evaluate_sample=1, n_generate_sample=1, n_select_sample=1, naive_run=True, prompt_sample='standard', task='game24', task_end_index=1000, task_start_index=900, temperature=0.7)
[1/100] idx=900 | sum(accs)=0 cnt_avg=0.000 cnt_any=0 | puzzle=0:00:03 avg=0:00:03 elapsed=0:00:03 ETA=0:05:36
[12/100] idx=911 | sum(accs)=0 cnt_avg=1.000 cnt_any=1 | puzzle=0:00:00 avg=0:00:01 elapsed=0:00:12 ETA=0:01:31

[13/100] idx=912 | sum(accs)=0 cnt_avg=1.000 cnt_any=1 | puzzle=0:00:00 avg=0:00:01 elapsed=0:00:13 ETA=0:01:28

[14/100] idx=913 | sum(accs)=0 cnt_avg=1.000 cnt_any=1 | puzzle=0:00:01 avg=0:00:01 elapsed=0:00:14 ETA=0:01:28

[15/100] idx=914 | sum(accs)=0 cnt_avg=1.000 cnt_any=1 | puzzle=0:00:00 avg=0:00:01 elapsed=0:00:15 ETA=0:01:25

[16/100] idx=915 | sum(accs)=0 cnt_avg=1.000 cnt_any=1 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:15 ETA=0:01:23

[17/100] idx=916 | sum(accs)=0 cnt_avg=1.000 cnt_any=1 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:16 ETA=0:01:21

[18/100] idx=917 | sum(accs)=1 cnt_avg=2.000 cnt_any=2 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:17 ETA=0:01:19

[19/100] idx=918 | sum(accs)=0 cnt_avg=2.000 cnt_any=2 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:18 ETA=0:01:18

[20/100] idx=919 | sum(accs)=0 cnt_avg=2.000 cnt_any=2 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:19 ETA=0:01:16

[21/100] idx=920 | sum(accs)=0 cnt_avg=2.000 cnt_any=2 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:20 ETA=0:01:15

[22/100] idx=921 | sum(accs)=0 cnt_avg=2.000 cnt_any=2 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:20 ETA=0:01:14

[23/100] idx=922 | sum(accs)=0 cnt_avg=2.000 cnt_any=2 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:21 ETA=0:01:12

[24/100] idx=923 | sum(accs)=0 cnt_avg=2.000 cnt_any=2 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:22 ETA=0:01:10

[25/100] idx=924 | sum(accs)=0 cnt_avg=2.000 cnt_any=2 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:23 ETA=0:01:09

[26/100] idx=925 | sum(accs)=0 cnt_avg=2.000 cnt_any=2 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:23 ETA=0:01:07

[27/100] idx=926 | sum(accs)=0 cnt_avg=2.000 cnt_any=2 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:24 ETA=0:01:06

[28/100] idx=927 | sum(accs)=1 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:25 ETA=0:01:05

[29/100] idx=928 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:26 ETA=0:01:03

[30/100] idx=929 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:26 ETA=0:01:02

[31/100] idx=930 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:27 ETA=0:01:01

[32/100] idx=931 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:28 ETA=0:01:00

[33/100] idx=932 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:02 avg=0:00:00 elapsed=0:00:30 ETA=0:01:02

[34/100] idx=933 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:31 ETA=0:01:01

[35/100] idx=934 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:01 avg=0:00:00 elapsed=0:00:32 ETA=0:01:00

[36/100] idx=935 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:33 ETA=0:00:59

[37/100] idx=936 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:34 ETA=0:00:58

[38/100] idx=937 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:01 avg=0:00:00 elapsed=0:00:35 ETA=0:00:57

[39/100] idx=938 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:35 ETA=0:00:56

[40/100] idx=939 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:36 ETA=0:00:55

[41/100] idx=940 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:37 ETA=0:00:54

[42/100] idx=941 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:38 ETA=0:00:52

[43/100] idx=942 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:39 ETA=0:00:52

[44/100] idx=943 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:40 ETA=0:00:51

[45/100] idx=944 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:41 ETA=0:00:50

[46/100] idx=945 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:41 ETA=0:00:49

[47/100] idx=946 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:42 ETA=0:00:48

[48/100] idx=947 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:43 ETA=0:00:47

[49/100] idx=948 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:44 ETA=0:00:46

[50/100] idx=949 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:44 ETA=0:00:44

[51/100] idx=950 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:45 ETA=0:00:43

[52/100] idx=951 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:01 avg=0:00:00 elapsed=0:00:46 ETA=0:00:43

[53/100] idx=952 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:47 ETA=0:00:42

[54/100] idx=953 | sum(accs)=1 cnt_avg=4.000 cnt_any=4 | puzzle=0:00:01 avg=0:00:00 elapsed=0:00:48 ETA=0:00:41

[55/100] idx=954 | sum(accs)=0 cnt_avg=4.000 cnt_any=4 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:49 ETA=0:00:40

[56/100] idx=955 | sum(accs)=0 cnt_avg=4.000 cnt_any=4 | puzzle=0:00:01 avg=0:00:00 elapsed=0:00:50 ETA=0:00:39

[57/100] idx=956 | sum(accs)=0 cnt_avg=4.000 cnt_any=4 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:51 ETA=0:00:38

[58/100] idx=957 | sum(accs)=0 cnt_avg=4.000 cnt_any=4 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:52 ETA=0:00:37

[59/100] idx=958 | sum(accs)=0 cnt_avg=4.000 cnt_any=4 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:53 ETA=0:00:36

[60/100] idx=959 | sum(accs)=0 cnt_avg=4.000 cnt_any=4 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:53 ETA=0:00:35

[61/100] idx=960 | sum(accs)=0 cnt_avg=4.000 cnt_any=4 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:54 ETA=0:00:34

[62/100] idx=961 | sum(accs)=1 cnt_avg=5.000 cnt_any=5 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:55 ETA=0:00:33

[63/100] idx=962 | sum(accs)=0 cnt_avg=5.000 cnt_any=5 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:56 ETA=0:00:33

[64/100] idx=963 | sum(accs)=1 cnt_avg=6.000 cnt_any=6 | puzzle=0:00:01 avg=0:00:00 elapsed=0:00:57 ETA=0:00:32

[65/100] idx=964 | sum(accs)=1 cnt_avg=7.000 cnt_any=7 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:58 ETA=0:00:31

[66/100] idx=965 | sum(accs)=0 cnt_avg=7.000 cnt_any=7 | puzzle=0:00:00 avg=0:00:00 elapsed=0:00:59 ETA=0:00:30

[67/100] idx=966 | sum(accs)=0 cnt_avg=7.000 cnt_any=7 | puzzle=0:00:01 avg=0:00:00 elapsed=0:01:00 ETA=0:00:29

[68/100] idx=967 | sum(accs)=0 cnt_avg=7.000 cnt_any=7 | puzzle=0:00:01 avg=0:00:00 elapsed=0:01:01 ETA=0:00:28

[69/100] idx=968 | sum(accs)=0 cnt_avg=7.000 cnt_any=7 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:02 ETA=0:00:27

[70/100] idx=969 | sum(accs)=1 cnt_avg=8.000 cnt_any=8 | puzzle=0:00:01 avg=0:00:00 elapsed=0:01:03 ETA=0:00:27

[71/100] idx=970 | sum(accs)=0 cnt_avg=8.000 cnt_any=8 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:04 ETA=0:00:26

[72/100] idx=971 | sum(accs)=0 cnt_avg=8.000 cnt_any=8 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:04 ETA=0:00:25

[73/100] idx=972 | sum(accs)=0 cnt_avg=8.000 cnt_any=8 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:05 ETA=0:00:24

[74/100] idx=973 | sum(accs)=0 cnt_avg=8.000 cnt_any=8 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:06 ETA=0:00:23

[75/100] idx=974 | sum(accs)=0 cnt_avg=8.000 cnt_any=8 | puzzle=0:00:01 avg=0:00:00 elapsed=0:01:08 ETA=0:00:22

[76/100] idx=975 | sum(accs)=0 cnt_avg=8.000 cnt_any=8 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:09 ETA=0:00:21

[77/100] idx=976 | sum(accs)=0 cnt_avg=8.000 cnt_any=8 | puzzle=0:00:01 avg=0:00:00 elapsed=0:01:10 ETA=0:00:20

[78/100] idx=977 | sum(accs)=1 cnt_avg=9.000 cnt_any=9 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:10 ETA=0:00:20

[79/100] idx=978 | sum(accs)=0 cnt_avg=9.000 cnt_any=9 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:11 ETA=0:00:19

[80/100] idx=979 | sum(accs)=0 cnt_avg=9.000 cnt_any=9 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:12 ETA=0:00:18

[81/100] idx=980 | sum(accs)=0 cnt_avg=9.000 cnt_any=9 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:13 ETA=0:00:17

[82/100] idx=981 | sum(accs)=0 cnt_avg=9.000 cnt_any=9 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:14 ETA=0:00:16

[83/100] idx=982 | sum(accs)=0 cnt_avg=9.000 cnt_any=9 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:14 ETA=0:00:15

[84/100] idx=983 | sum(accs)=0 cnt_avg=9.000 cnt_any=9 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:15 ETA=0:00:14

[85/100] idx=984 | sum(accs)=0 cnt_avg=9.000 cnt_any=9 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:16 ETA=0:00:13

[86/100] idx=985 | sum(accs)=0 cnt_avg=9.000 cnt_any=9 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:17 ETA=0:00:12

[87/100] idx=986 | sum(accs)=0 cnt_avg=9.000 cnt_any=9 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:18 ETA=0:00:11

[88/100] idx=987 | sum(accs)=0 cnt_avg=9.000 cnt_any=9 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:18 ETA=0:00:10

[89/100] idx=988 | sum(accs)=1 cnt_avg=10.000 cnt_any=10 | puzzle=0:00:01 avg=0:00:00 elapsed=0:01:19 ETA=0:00:09

[90/100] idx=989 | sum(accs)=0 cnt_avg=10.000 cnt_any=10 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:20 ETA=0:00:08

[91/100] idx=990 | sum(accs)=0 cnt_avg=10.000 cnt_any=10 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:21 ETA=0:00:08

[92/100] idx=991 | sum(accs)=0 cnt_avg=10.000 cnt_any=10 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:22 ETA=0:00:07

[93/100] idx=992 | sum(accs)=0 cnt_avg=10.000 cnt_any=10 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:23 ETA=0:00:06

[94/100] idx=993 | sum(accs)=0 cnt_avg=10.000 cnt_any=10 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:24 ETA=0:00:05

[95/100] idx=994 | sum(accs)=0 cnt_avg=10.000 cnt_any=10 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:25 ETA=0:00:04

[96/100] idx=995 | sum(accs)=1 cnt_avg=11.000 cnt_any=11 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:25 ETA=0:00:03

[97/100] idx=996 | sum(accs)=0 cnt_avg=11.000 cnt_any=11 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:26 ETA=0:00:02

[98/100] idx=997 | sum(accs)=0 cnt_avg=11.000 cnt_any=11 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:27 ETA=0:00:01

[99/100] idx=998 | sum(accs)=1 cnt_avg=12.000 cnt_any=12 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:28 ETA=0:00:00

[100/100] idx=999 | sum(accs)=1 cnt_avg=13.000 cnt_any=13 | puzzle=0:00:00 avg=0:00:00 elapsed=0:01:29 ETA=0:00:00

0.13 0.13
usage_so_far {'completion_tokens': 1804, 'prompt_tokens': 21900, 'cost': 0.0043674}
total_time=0:01:29
