Namespace(backend='gpt-4o-mini', method_evaluate=None, method_generate=None, method_select='greedy', n_evaluate_sample=1, n_generate_sample=1, n_select_sample=1, naive_run=True, prompt_sample='cot', task='game24', task_end_index=1000, task_start_index=900, temperature=0.7)
[1/100] idx=900 | sum(accs)=0 cnt_avg=0.000 cnt_any=0 | puzzle=0:00:02 avg=0:00:02 elapsed=0:00:02 ETA=0:03:36
[73/100] idx=972 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:03 avg=0:00:02 elapsed=0:02:26 ETA=0:00:54

[74/100] idx=973 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:02 avg=0:00:02 elapsed=0:02:29 ETA=0:00:52

[75/100] idx=974 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:01 avg=0:00:02 elapsed=0:02:31 ETA=0:00:50

[76/100] idx=975 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:01 avg=0:00:02 elapsed=0:02:32 ETA=0:00:48

[77/100] idx=976 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:01 avg=0:00:02 elapsed=0:02:34 ETA=0:00:46

[78/100] idx=977 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:01 avg=0:00:02 elapsed=0:02:36 ETA=0:00:44

[79/100] idx=978 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:01 avg=0:00:02 elapsed=0:02:38 ETA=0:00:42

[80/100] idx=979 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:01 avg=0:00:01 elapsed=0:02:40 ETA=0:00:39

[81/100] idx=980 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:02 avg=0:00:02 elapsed=0:02:42 ETA=0:00:38

[82/100] idx=981 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:01 avg=0:00:01 elapsed=0:02:43 ETA=0:00:35

[83/100] idx=982 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:02 avg=0:00:02 elapsed=0:02:46 ETA=0:00:34

[84/100] idx=983 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:01 avg=0:00:01 elapsed=0:02:47 ETA=0:00:31

[85/100] idx=984 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:01 avg=0:00:01 elapsed=0:02:49 ETA=0:00:29

[86/100] idx=985 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:01 avg=0:00:01 elapsed=0:02:51 ETA=0:00:27

[87/100] idx=986 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:01 avg=0:00:01 elapsed=0:02:53 ETA=0:00:25

[88/100] idx=987 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:01 avg=0:00:01 elapsed=0:02:55 ETA=0:00:23

[89/100] idx=988 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:01 avg=0:00:01 elapsed=0:02:56 ETA=0:00:21

[90/100] idx=989 | sum(accs)=0 cnt_avg=3.000 cnt_any=3 | puzzle=0:00:01 avg=0:00:01 elapsed=0:02:58 ETA=0:00:19

[91/100] idx=990 | sum(accs)=1 cnt_avg=4.000 cnt_any=4 | puzzle=0:00:01 avg=0:00:01 elapsed=0:02:59 ETA=0:00:17

[92/100] idx=991 | sum(accs)=0 cnt_avg=4.000 cnt_any=4 | puzzle=0:00:01 avg=0:00:01 elapsed=0:03:01 ETA=0:00:15

[93/100] idx=992 | sum(accs)=0 cnt_avg=4.000 cnt_any=4 | puzzle=0:00:01 avg=0:00:01 elapsed=0:03:02 ETA=0:00:13

[94/100] idx=993 | sum(accs)=0 cnt_avg=4.000 cnt_any=4 | puzzle=0:00:06 avg=0:00:02 elapsed=0:03:09 ETA=0:00:12

[95/100] idx=994 | sum(accs)=0 cnt_avg=4.000 cnt_any=4 | puzzle=0:00:01 avg=0:00:02 elapsed=0:03:10 ETA=0:00:10

[96/100] idx=995 | sum(accs)=0 cnt_avg=4.000 cnt_any=4 | puzzle=0:00:03 avg=0:00:02 elapsed=0:03:14 ETA=0:00:08

[97/100] idx=996 | sum(accs)=0 cnt_avg=4.000 cnt_any=4 | puzzle=0:00:01 avg=0:00:02 elapsed=0:03:15 ETA=0:00:06

[98/100] idx=997 | sum(accs)=0 cnt_avg=4.000 cnt_any=4 | puzzle=0:00:01 avg=0:00:02 elapsed=0:03:17 ETA=0:00:04

[99/100] idx=998 | sum(accs)=0 cnt_avg=4.000 cnt_any=4 | puzzle=0:00:01 avg=0:00:02 elapsed=0:03:18 ETA=0:00:02

[100/100] idx=999 | sum(accs)=0 cnt_avg=4.000 cnt_any=4 | puzzle=0:00:03 avg=0:00:02 elapsed=0:03:22 ETA=0:00:00

0.04 0.04
usage_so_far {'completion_tokens': 8629, 'prompt_tokens': 47600, 'cost': 0.0123174}
total_time=0:03:22
